metric,type,top,ec,value
acc,forward,1,1,0.35881542699724517
acc,forward,1,2,0.6311172668513388
acc,forward,1,7,0.22727272727272727
acc,forward,1,3,0.4982394366197183
acc,forward,1,5,0.3674698795180723
acc,forward,1,4,0.41823899371069184
acc,forward,1,6,0.42105263157894735
acc,forward,1,overall,0.5034468351786088
acc,forward,2,1,0.47107438016528924
acc,forward,2,2,0.6795937211449676
acc,forward,2,7,0.3181818181818182
acc,forward,2,3,0.6091549295774648
acc,forward,2,5,0.4759036144578313
acc,forward,2,4,0.559748427672956
acc,forward,2,6,0.5894736842105263
acc,forward,2,overall,0.5895132650929601
acc,forward,3,1,0.5399449035812672
acc,forward,3,2,0.7049861495844876
acc,forward,3,7,0.36363636363636365
acc,forward,3,3,0.647887323943662
acc,forward,3,5,0.5481927710843374
acc,forward,3,4,0.6257861635220126
acc,forward,3,6,0.6842105263157895
acc,forward,3,overall,0.6354710674744098
acc,forward,4,1,0.5798898071625345
acc,forward,4,2,0.724376731301939
acc,forward,4,7,0.4090909090909091
acc,forward,4,3,0.6848591549295775
acc,forward,4,5,0.5783132530120482
acc,forward,4,4,0.6540880503144654
acc,forward,4,6,0.7368421052631579
acc,forward,4,overall,0.6649258408188845
acc,forward,5,1,0.6005509641873278
acc,forward,5,2,0.734533702677747
acc,forward,5,7,0.4090909090909091
acc,forward,5,3,0.698943661971831
acc,forward,5,5,0.5843373493975904
acc,forward,5,4,0.6761006289308176
acc,forward,5,6,0.7684210526315789
acc,forward,5,overall,0.6797576770419888
acc,backward,1,1,0.2362258953168044
acc,backward,1,2,0.8010156971375808
acc,backward,1,7,0.0
acc,backward,1,3,0.3397887323943662
acc,backward,1,5,0.3674698795180723
acc,backward,1,4,0.5283018867924528
acc,backward,1,6,0.3157894736842105
acc,backward,1,overall,0.5285147273866723
acc,backward,2,1,0.31955922865013775
acc,backward,2,2,0.8665743305632503
acc,backward,2,7,0.0
acc,backward,2,3,0.4154929577464789
acc,backward,2,5,0.5
acc,backward,2,4,0.6194968553459119
acc,backward,2,6,0.4105263157894737
acc,backward,2,overall,0.6049717986212659
acc,backward,3,1,0.38016528925619836
acc,backward,3,2,0.8831948291782087
acc,backward,3,7,0.045454545454545456
acc,backward,3,3,0.44366197183098594
acc,backward,3,5,0.5481927710843374
acc,backward,3,4,0.6477987421383647
acc,backward,3,6,0.43157894736842106
acc,backward,3,overall,0.6383956548986839
acc,backward,4,1,0.4097796143250689
acc,backward,4,2,0.889196675900277
acc,backward,4,7,0.09090909090909091
acc,backward,4,3,0.4630281690140845
acc,backward,4,5,0.5843373493975904
acc,backward,4,4,0.6540880503144654
acc,backward,4,6,0.4421052631578947
acc,backward,4,overall,0.6544808857321913
acc,backward,5,1,0.424931129476584
acc,backward,5,2,0.8933518005540166
acc,backward,5,7,0.09090909090909091
acc,backward,5,3,0.47183098591549294
acc,backward,5,5,0.5963855421686747
acc,backward,5,4,0.6635220125786163
acc,backward,5,6,0.45263157894736844
acc,backward,5,overall,0.6632546480050135
acc,roundtrip,1,1,0.10330578512396695
acc,roundtrip,1,2,0.5590951061865189
acc,roundtrip,1,7,0.0
acc,roundtrip,1,3,0.2482394366197183
acc,roundtrip,1,5,0.1686746987951807
acc,roundtrip,1,4,0.25471698113207547
acc,roundtrip,1,6,0.18947368421052632
acc,roundtrip,1,overall,0.3402966367244621
acc,roundtrip,2,1,0.14738292011019283
acc,roundtrip,2,2,0.5964912280701754
acc,roundtrip,2,7,0.0
acc,roundtrip,2,3,0.2904929577464789
acc,roundtrip,2,5,0.24096385542168675
acc,roundtrip,2,4,0.3018867924528302
acc,roundtrip,2,6,0.24210526315789474
acc,roundtrip,2,overall,0.38228535617296844
acc,roundtrip,3,1,0.17355371900826447
acc,roundtrip,3,2,0.6020313942751616
acc,roundtrip,3,7,0.0
acc,roundtrip,3,3,0.2992957746478873
acc,roundtrip,3,5,0.25903614457831325
acc,roundtrip,3,4,0.31761006289308175
acc,roundtrip,3,6,0.25263157894736843
acc,roundtrip,3,overall,0.39565489868393566
acc,roundtrip,4,1,0.18732782369146006
acc,roundtrip,4,2,0.6048014773776547
acc,roundtrip,4,7,0.0
acc,roundtrip,4,3,0.31338028169014087
acc,roundtrip,4,5,0.27710843373493976
acc,roundtrip,4,4,0.31761006289308175
acc,roundtrip,4,6,0.25263157894736843
acc,roundtrip,4,overall,0.4033841654480886
acc,roundtrip,5,1,0.1962809917355372
acc,roundtrip,5,2,0.6066481994459834
acc,roundtrip,5,7,0.0
acc,roundtrip,5,3,0.31690140845070425
acc,roundtrip,5,5,0.28313253012048195
acc,roundtrip,5,4,0.3238993710691824
acc,roundtrip,5,6,0.25263157894736843
acc,roundtrip,5,overall,0.4079799456862335
acc,ec,1,1,0.4972451790633609
acc,ec,1,2,0.9506001846722069
acc,ec,1,7,0.0
acc,ec,1,3,0.5105633802816901
acc,ec,1,5,0.5903614457831325
acc,ec,1,4,0.6886792452830188
acc,ec,1,6,0.6
acc,ec,1,overall,0.7196574054731565
acc,ec,2,1,0.5991735537190083
acc,ec,2,2,0.961218836565097
acc,ec,2,7,0.0
acc,ec,2,3,0.596830985915493
acc,ec,2,5,0.6686746987951807
