metric,type,top,ec,value
acc,forward,1,1,0.36639118457300274
acc,forward,1,2,0.636657433056325
acc,forward,1,7,0.2727272727272727
acc,forward,1,3,0.5123239436619719
acc,forward,1,5,0.3855421686746988
acc,forward,1,4,0.4591194968553459
acc,forward,1,6,0.47368421052631576
acc,forward,1,overall,0.5145184875705034
acc,forward,2,1,0.48760330578512395
acc,forward,2,2,0.6915974145891043
acc,forward,2,7,0.3181818181818182
acc,forward,2,3,0.625
acc,forward,2,5,0.4819277108433735
acc,forward,2,4,0.5880503144654088
acc,forward,2,6,0.6421052631578947
acc,forward,2,overall,0.6049717986212659
acc,forward,3,1,0.5709366391184573
acc,forward,3,2,0.7183748845798708
acc,forward,3,7,0.4090909090909091
acc,forward,3,3,0.6584507042253521
acc,forward,3,5,0.5301204819277109
acc,forward,3,4,0.6477987421383647
acc,forward,3,6,0.7368421052631579
acc,forward,3,overall,0.6542719866304575
acc,forward,4,1,0.6129476584022039
acc,forward,4,2,0.7326869806094183
acc,forward,4,7,0.4090909090909091
acc,forward,4,3,0.6883802816901409
acc,forward,4,5,0.5542168674698795
acc,forward,4,4,0.6698113207547169
acc,forward,4,6,0.7789473684210526
acc,forward,4,overall,0.6801754752454564
acc,forward,5,1,0.6308539944903582
acc,forward,5,2,0.7442289935364728
acc,forward,5,7,0.4090909090909091
acc,forward,5,3,0.7095070422535211
acc,forward,5,5,0.5602409638554217
acc,forward,5,4,0.6823899371069182
acc,forward,5,6,0.7894736842105263
acc,forward,5,overall,0.694589513265093
acc,backward,1,1,0.23209366391184574
acc,backward,1,2,0.7811634349030471
acc,backward,1,7,0.0
acc,backward,1,3,0.31690140845070425
acc,backward,1,5,0.37349397590361444
acc,backward,1,4,0.5062893081761006
acc,backward,1,6,0.30526315789473685
acc,backward,1,overall,0.5141006893670357
acc,backward,2,1,0.3133608815426997
acc,backward,2,2,0.853185595567867
acc,backward,2,7,0.0
acc,backward,2,3,0.39436619718309857
acc,backward,2,5,0.4578313253012048
acc,backward,2,4,0.5880503144654088
acc,backward,2,6,0.3894736842105263
acc,backward,2,overall,0.5905577606016295
acc,backward,3,1,0.3608815426997245
acc,backward,3,2,0.8693444136657433
acc,backward,3,7,0.0
acc,backward,3,3,0.4225352112676056
